session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
6214562900c466ed48c09c46,5dde21012a30acd8ada645ec,APPROVED,2022-02-22 03:19:10.606000,2022-02-22 03:43:42.198000,1471.592,56,943,7,99,2022-02-22 04:57:31.067000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
621456955919c234cc9f627b,60f72f4f1341357926bf94cc,APPROVED,2022-02-22 03:21:00.538000,2022-02-22 03:50:04.233000,1743.695,25,45,0,100,2022-02-22 04:57:31.154000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
621456db0ec6c8e413493a6e,5eeaff28cf5da71d691ef212,APPROVED,2022-02-22 03:22:03.966000,2022-02-22 03:46:15.860000,1451.894,22,1323,1,100,2022-02-22 04:57:31.219000,8D216DAB,United States,United States,DATA EXPIRED,English,"Chinese, English",United States,Male,No
621456f00007a914b01472de,5efcce586913680d063d7c5f,RETURNED,2022-02-22 03:22:30.302000,,10668.805799,31,642,5,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
621456f66b43613a131cc365,610779121f070c7b8e34c122,APPROVED,2022-02-22 03:22:41.103000,2022-02-22 03:46:36.492000,1435.389,32,293,1,100,2022-02-22 04:56:05.502000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
6214570ca67948ef05f27c42,59d8ae913e5ea00001e1d05f,APPROVED,2022-02-22 03:22:52.785000,2022-02-22 03:49:57.503000,1624.718,33,2067,0,100,2022-02-22 04:56:05.430000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
621457185582182a92341878,5d5f07cdca10e90016bc0103,APPROVED,2022-02-22 03:23:04.206000,2022-02-22 03:46:32.779000,1408.573,34,2582,3,100,2022-02-22 04:56:05.356000,8D216DAB,United States,United States,Full-Time,English,"English, French",United States,Male,Yes
6214571a7d5d71fb8da35474,5dd4c20186c8864a376f7480,APPROVED,2022-02-22 03:25:19.916000,2022-02-22 03:46:54.826000,1294.91,27,1419,18,97,2022-02-22 04:56:05.233000,8D216DAB,United States,United States,DATA EXPIRED,English,"English, Spanish",United States,Male,DATA EXPIRED
62145724e83f6e6633e85764,5b6a87d2cda8590001db8e07,APPROVED,2022-02-22 03:23:16.706000,2022-02-22 03:47:08.221000,1431.515,41,2112,0,100,2022-02-22 04:56:05.293000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62145b5c2eab088e8e62fc02,5d012930cfeb82001817c9c9,APPROVED,2022-02-22 03:41:18.247000,2022-02-22 04:11:04.446000,1786.199,31,1915,23,97,2022-02-22 04:56:05.175000,8D216DAB,United States,United States,DATA EXPIRED,English,"English, Chinese",United States,Female,DATA EXPIRED
62145c4f7d5d71fb8da35483,5bb0c112a1c73d0001b9ce9e,APPROVED,2022-02-22 03:45:19.123000,2022-02-22 04:12:20.906000,1621.783,27,795,0,100,2022-02-22 04:56:05.114000,8D216DAB,United States,United States,Full-Time,English,English,United States,Female,No
62145c5259eff9144324de23,5d849ee0a954540019f513dd,APPROVED,2022-02-22 03:45:25.184000,2022-02-22 04:39:11.386000,3226.202,32,1249,7,99,2022-02-22 04:53:56.839000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Female,No
